index,model,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,pi,score,mape,rmse,coverage,success,experiment_id,run_id,subba
64,LinearRegressionModel,2024-07-10 16:28:56,2024-07-10,2024-07-10 00:00:00,2024-07-10,2024-07-10 23:00:00,24,24,True,True,0.95,True,0.0639712001443175,10.332116602843026,0.9166666666666666,True,429002805831419929,07637e696d094796a3b0de53fca5af81,VEA
65,LinearRegressionModel,2024-07-11 16:25:11,2024-07-11,2024-07-11 00:00:00,2024-07-11,2024-07-11 23:00:00,24,24,True,True,0.95,True,0.0645012801547459,1406.4089023379308,0.4583333333333333,True,926415703519816116,0a29fd46ce5a437b947460740b36be86,PGAE
66,LinearRegressionModel,2024-07-11 16:26:36,2024-07-11,2024-07-11 00:00:00,2024-07-11,2024-07-11 23:00:00,24,24,True,True,0.95,True,0.0494907152431959,898.7001223891542,0.875,True,593340668942786326,405f3a36a8f4490e8aae84ec16dc2e21,SCE
67,LinearRegressionModel,2024-07-11 16:27:28,2024-07-11,2024-07-11 00:00:00,2024-07-11,2024-07-11 23:00:00,24,24,True,True,0.95,True,0.0234840564300788,71.79552527228134,1.0,True,982907401229799951,09eeab7ac9e0491ab20a025635006884,SDGE
68,LinearRegressionModel,2024-07-11 16:28:09,2024-07-11,2024-07-11 00:00:00,2024-07-11,2024-07-11 23:00:00,24,24,True,True,0.95,True,0.0869331692543824,21.9981942297949,0.7916666666666666,True,233824537790346312,f41f936d21fb4fe68be9f8b09c0e94a5,VEA
69,LinearRegressionModel,2024-07-12 16:25:57,2024-07-12,2024-07-12 00:00:00,2024-07-12,2024-07-12 23:00:00,24,24,True,True,0.95,True,0.0210735824740003,403.1334180128475,1.0,True,420496129113557784,9d77d06fa94447b18e61ef7882cc7ecb,PGAE
70,LinearRegressionModel,2024-07-12 16:27:22,2024-07-12,2024-07-12 00:00:00,2024-07-12,2024-07-12 23:00:00,24,24,True,True,0.95,True,0.0246179350690806,518.4695973419944,0.9583333333333334,True,423542089572902874,e06d5e5d9cb242ce886caa8f94373ef1,SCE
71,LinearRegressionModel,2024-07-12 16:28:15,2024-07-12,2024-07-12 00:00:00,2024-07-12,2024-07-12 23:00:00,24,24,True,True,0.95,True,0.028648977134622,85.15129711711621,1.0,True,405815689371339666,5a5a65179da0466f85da0daa456c2f74,SDGE
72,LinearRegressionModel,2024-07-12 16:28:56,2024-07-12,2024-07-12 00:00:00,2024-07-12,2024-07-12 23:00:00,24,24,True,True,0.95,True,0.0596526942741834,15.02538282284186,0.8333333333333334,True,680907044353495387,6008b4b979a94f4e89a0317fd77e1589,VEA
73,LinearRegressionModel,2024-07-13 16:23:10,2024-07-13,2024-07-13 00:00:00,2024-07-13,2024-07-13 23:00:00,24,24,True,True,0.95,True,0.0312479192181228,633.7269685467495,0.875,True,624961824590257801,705fecd064e64d34b90e0d919d6523eb,PGAE
74,LinearRegressionModel,2024-07-13 16:24:34,2024-07-13,2024-07-13 00:00:00,2024-07-13,2024-07-13 23:00:00,24,24,True,True,0.95,True,0.0599269264153924,1045.421996035422,0.7083333333333334,True,912060712450230857,8ce56d9ed57c40f1adb68684a1c0659a,SCE
75,LinearRegressionModel,2024-07-13 16:25:26,2024-07-13,2024-07-13 00:00:00,2024-07-13,2024-07-13 23:00:00,24,24,True,True,0.95,True,0.0871175296879491,194.4239723559723,1.0,True,353249559489522265,31c2113f7adb4dfba02f8b4f0dea5fdf,SDGE
76,LinearRegressionModel,2024-07-13 16:26:07,2024-07-13,2024-07-13 00:00:00,2024-07-13,2024-07-13 23:00:00,24,24,True,True,0.95,True,0.1115823953647709,17.281877103714567,0.875,True,974723559754783990,0102aa394be349a4819ef7a967f90faf,VEA
77,LinearRegressionModel,2024-07-14 16:37:06,2024-07-14,2024-07-14 00:00:00,2024-07-14,2024-07-14 23:00:00,24,24,True,True,0.95,True,0.0593152248029692,912.5568428160398,0.7083333333333334,True,973544997123391574,d30803ff2c8a42f9baea5f3d6fbd4b1b,PGAE
78,LinearRegressionModel,2024-07-14 16:38:31,2024-07-14,2024-07-14 00:00:00,2024-07-14,2024-07-14 23:00:00,24,24,True,True,0.95,True,0.0236824092796965,424.5556928380615,0.9583333333333334,True,998133221158981973,9ea2ac39cb4e4359bf99f8f38bf6adcd,SCE
79,LinearRegressionModel,2024-07-14 16:39:23,2024-07-14,2024-07-14 00:00:00,2024-07-14,2024-07-14 23:00:00,24,24,True,True,0.95,True,0.0423300653678381,136.76722421430705,0.9166666666666666,True,547235764142506192,022b1105dad14d9f9f5976bb685e481c,SDGE
80,LinearRegressionModel,2024-07-14 16:40:04,2024-07-14,2024-07-14 00:00:00,2024-07-14,2024-07-14 23:00:00,24,24,True,True,0.95,True,0.2428625656024189,24.88546871872401,0.9166666666666666,True,134407880572219185,3b0ae17f8f214b09b3241caeaab71f91,VEA
81,LinearRegressionModel,2024-07-15 16:25:43,2024-07-15,2024-07-15 00:00:00,2024-07-15,2024-07-15 23:00:00,24,24,True,True,0.95,True,0.074024900078902,1062.1555256480688,0.4583333333333333,True,397661279823598223,3c01ea990879435382425e5bf8dae6fc,PGAE
82,LinearRegressionModel,2024-07-15 16:27:09,2024-07-15,2024-07-15 00:00:00,2024-07-15,2024-07-15 23:00:00,24,24,True,True,0.95,True,0.0739144980210402,1664.94525615805,0.7083333333333334,True,485184825120920272,a6a88201ac5f4e3d96276ae8c04a932a,SCE
83,LinearRegressionModel,2024-07-15 16:28:02,2024-07-15,2024-07-15 00:00:00,2024-07-15,2024-07-15 23:00:00,24,24,True,True,0.95,True,0.0612017706695741,186.32828383869813,1.0,True,999781313775861931,c23c5f3546984018a84e34d62a63bf4d,SDGE
84,LinearRegressionModel,2024-07-15 16:28:43,2024-07-15,2024-07-15 00:00:00,2024-07-15,2024-07-15 23:00:00,24,24,True,True,0.95,True,0.1019331723162941,18.31425616834296,0.9166666666666666,True,600783534858329140,75e0c9cba227479bb0bb1ef7be741025,VEA
85,LinearRegressionModel,2024-07-16 16:24:32,2024-07-16,2024-07-16 00:00:00,2024-07-16,2024-07-16 23:00:00,24,24,True,True,0.95,True,0.0594494379407239,870.7059489152322,0.7916666666666666,True,657346068902477897,3460b78673ff4f35be0532dfd8d3b35b,PGAE
86,LinearRegressionModel,2024-07-16 16:25:58,2024-07-16,2024-07-16 00:00:00,2024-07-16,2024-07-16 23:00:00,24,24,True,True,0.95,True,0.0332620485534659,595.1842597900189,0.875,True,152051375982339203,5c16c51464bb40d8a1b7581f9e734ea5,SCE
87,LinearRegressionModel,2024-07-16 16:26:50,2024-07-16,2024-07-16 00:00:00,2024-07-16,2024-07-16 23:00:00,24,24,True,True,0.95,True,0.0593159965448544,148.88678583854465,1.0,True,730725423851075800,de18da5e990d47bc877f896721934cfc,SDGE
88,LinearRegressionModel,2024-07-16 16:27:32,2024-07-16,2024-07-16 00:00:00,2024-07-16,2024-07-16 23:00:00,24,24,True,True,0.95,True,0.074794523260917,13.152255736588485,0.9166666666666666,True,809569984697387975,945aa96cde244769b6d14630eb9dd4e7,VEA
89,LinearRegressionModel,2024-07-17 16:26:31,2024-07-17,2024-07-17 00:00:00,2024-07-17,2024-07-17 23:00:00,24,24,True,True,0.95,True,0.0325871724461989,495.87996101402814,0.9583333333333334,True,365552374708038379,69f681bce9f04bc4b411215d59ee7a96,PGAE
90,LinearRegressionModel,2024-07-17 16:27:56,2024-07-17,2024-07-17 00:00:00,2024-07-17,2024-07-17 23:00:00,24,24,True,True,0.95,True,0.0197487129089186,348.47328243498373,1.0,True,976864182556588942,9b58fec809014540a227be444b1242f2,SCE
91,LinearRegressionModel,2024-07-17 16:28:48,2024-07-17,2024-07-17 00:00:00,2024-07-17,2024-07-17 23:00:00,24,24,True,True,0.95,True,0.0333606805495667,98.60075073963316,1.0,True,864462809591216248,a9a668bdc7d74d5880f28ae38ce49028,SDGE
92,LinearRegressionModel,2024-07-17 16:29:30,2024-07-17,2024-07-17 00:00:00,2024-07-17,2024-07-17 23:00:00,24,24,True,True,0.95,True,0.0557256031122384,15.11775156533534,0.875,True,873051989235554324,70725aec1889474abb605cc795935fa4,VEA
93,LinearRegressionModel,2024-07-18 16:25:38,2024-07-18,2024-07-18 00:00:00,2024-07-18,2024-07-18 23:00:00,24,24,True,True,0.95,True,0.032670466529206,613.7377295381353,0.9166666666666666,True,974067257961642874,80806427e0c94fe69e2ebec5cfb59cf7,PGAE
94,LinearRegressionModel,2024-07-18 16:27:03,2024-07-18,2024-07-18 00:00:00,2024-07-18,2024-07-18 23:00:00,24,24,True,True,0.95,True,0.0629588895909622,1001.797893131031,0.875,True,850522577582762688,a353b9adb15b4d9598062f424721d62d,SCE
95,LinearRegressionModel,2024-07-18 16:27:55,2024-07-18,2024-07-18 00:00:00,2024-07-18,2024-07-18 23:00:00,24,24,True,True,0.95,True,0.0550539539965561,159.6489076258968,0.9583333333333334,True,152272023919147173,5d5cdf37667040c382849d3ff33e5861,SDGE
